2025-08-26 21:02:27,940 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 21:02:27,942 | INFO     | process_images:65 | Request unknown: File size: 9553494 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 21:02:27,944 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpyb383u6h | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 21:02:27,944 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpyb383u6h/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 21:02:27,955 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 21:02:33,301 | INFO     | process_images:87 | Request unknown: Processing completed in 5.346s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 21:02:33,302 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 21:02:33,302 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
2025-08-26 21:04:51,438 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 21:04:51,441 | INFO     | process_images:65 | Request unknown: File size: 9553494 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 21:04:51,444 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp5fojp7m3 | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 21:04:51,444 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp5fojp7m3/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 21:04:51,472 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 21:04:56,584 | INFO     | process_images:87 | Request unknown: Processing completed in 5.111s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 21:04:56,585 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 21:04:56,585 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
2025-08-26 21:09:49,726 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 21:09:49,730 | INFO     | process_images:65 | Request unknown: File size: 9553494 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 21:09:49,732 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpgcvfqq05 | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 21:09:49,733 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpgcvfqq05/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 21:09:49,754 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 21:09:56,138 | INFO     | process_images:87 | Request unknown: Processing completed in 6.383s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 21:09:56,140 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 21:09:56,140 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
2025-08-26 21:21:11,405 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 21:21:11,407 | INFO     | process_images:65 | Request unknown: File size: 9553494 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 21:21:11,408 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpf37uni0d | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 21:21:11,409 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpf37uni0d/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 21:21:11,436 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 21:21:15,811 | INFO     | process_images:87 | Request unknown: Processing completed in 4.375s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 21:21:15,813 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 21:21:15,813 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
2025-08-26 21:29:21,479 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 21:29:21,483 | INFO     | process_images:65 | Request unknown: File size: 9553494 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 21:29:21,484 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpxced54bg | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 21:29:21,484 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpxced54bg/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 21:29:21,498 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 21:29:27,563 | INFO     | process_images:87 | Request unknown: Processing completed in 6.065s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 21:29:27,564 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 21:29:27,564 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
2025-08-26 21:33:32,112 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 21:33:32,118 | INFO     | process_images:65 | Request unknown: File size: 9553494 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 21:33:32,119 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp1i1vg3t4 | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 21:33:32,119 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp1i1vg3t4/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 21:33:32,139 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 21:33:37,117 | INFO     | process_images:87 | Request unknown: Processing completed in 4.978s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 21:33:37,118 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 21:33:37,119 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
2025-08-26 21:47:40,291 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 21:47:40,296 | INFO     | process_images:65 | Request unknown: File size: 9553494 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
